Archivo Fuente,N° Factura,Consumo Activa (kWh),Consumo Reactiva (kVARh),FP Calculado,"Diferencia FP (0,93 - FP)",Valor kWh Cobrado,Multa Estimada (Pesos),Multa Positiva?
Ago 2022.json,26218922,45600.00,22800.00,0.894,0.036,PENDIENTE,PENDIENTE,SI
Ago 2023.json,28917299,135805.00,54380.00,0.928,0.002,PENDIENTE,PENDIENTE,SI
