Archivo Fuente,Nombre Cliente,R.U.T Cliente,N° Cliente (Enel),N° de Factura,Fecha Emisión,Factura: Monto Neto,Factura: I.V.A.,Factura: Monto Exento,Factura: Monto Total,Item: Administración del servicio,Item: Electricidad Consumida,Item: Cargo por Servicio Público,Item: Transporte de electricidad,Item: Arriendo Medidor,Item: Multa por consumo reactivo,Item: Cargo Fijo Mensual PDx
Ago 2022.json,INDUSTRIA MECANICA VOGT S A .,96.800.570-7,1338543-2,26218922,08/08/2022,4.316.197,820.077,23.164,5.159.438,669,2.866.744,23.164,565.623,28.063,219.598,
Ago 2023.json,INDUSTRIA MECANICA VOGT S.A.,,96800570-7,28917299,10/10/2023,871.587,165.602,,1.037.189,,361.241,,,,,669
